rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
64	KRTAP24-1	keratin associated protein 24-1	419000	23	22	23	4	0	12	6	1	4	0	4.95e-06	0.278	0.0988	0.868	0.164	1.22e-05	0.00344
65	PYHIN1	pyrin and HIN domain family, member 1	837369	30	27	30	4	3	13	8	4	2	0	3.99e-06	0.132	0.269	0.234	0.211	1.26e-05	0.00351
66	FAM71B	family with sequence similarity 71, member B	994904	33	32	33	4	0	21	8	3	1	0	9.51e-07	0.0596	0.738	0.659	0.924	1.31e-05	0.00360
67	LCE1F	late cornified envelope 1F	196181	12	12	11	2	1	6	1	0	4	0	2.33e-05	0.332	0.0181	0.487	0.0393	1.37e-05	0.00369
68	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif, 2	1596479	43	42	41	5	11	17	5	5	5	0	0.000210	0.00260	0.00448	0.0459	0.00457	1.42e-05	0.00378
69	OR4C3	olfactory receptor, family 4, subfamily C, member 3	540549	20	20	18	2	0	12	3	1	4	0	1.40e-06	0.0555	0.611	0.401	0.717	1.49e-05	0.00389
70	TCEAL5	transcription elongation factor A (SII)-like 5	336682	15	14	14	1	1	8	3	0	3	0	1.89e-06	0.211	0.365	0.787	0.548	1.53e-05	0.00395
71	OR51A7	olfactory receptor, family 51, subfamily A, member 7	512840	16	16	15	2	1	8	3	1	3	0	7.13e-06	0.133	0.160	0.116	0.150	1.58e-05	0.00402
72	NAV3	neuron navigator 3	3935634	141	113	139	22	7	83	28	7	15	1	4.37e-06	0.00741	0.182	0.705	0.302	1.92e-05	0.00482
73	OR5L1	olfactory receptor, family 5, subfamily L, member 1	512071	38	35	38	9	1	24	7	6	0	0	2.11e-06	0.0932	0.642	0.374	0.693	2.11e-05	0.00523
74	SELE	selectin E (endothelial adhesion molecule 1)	1023167	17	16	17	2	0	6	7	1	3	0	0.0170	0.237	2.24e-05	0.975	9.04e-05	2.21e-05	0.00540
75	OR8I2	olfactory receptor, family 8, subfamily I, member 2	506855	29	23	28	7	4	11	8	2	3	1	7.48e-06	0.220	0.243	0.166	0.222	2.37e-05	0.00572
76	SNTG1	syntrophin, gamma 1	866794	67	62	64	15	2	36	12	5	11	1	3.08e-06	0.337	0.449	0.618	0.689	2.99e-05	0.00711
77	PRB2	proline-rich protein BstNI subfamily 2	685804	16	15	15	0	0	9	2	0	5	0	0.000281	0.154	0.00372	0.275	0.00788	3.11e-05	0.00730
78	SPATA18	spermatogenesis associated 18 homolog (rat)	894596	25	24	25	2	5	9	6	3	2	0	1.72e-05	0.0353	0.113	0.234	0.135	3.25e-05	0.00754
79	ZBBX	zinc finger, B-box domain containing	1333288	33	31	33	3	0	14	10	1	7	1	1.15e-05	0.158	0.200	0.304	0.209	3.34e-05	0.00762
80	DUSP22	dual specificity phosphatase 22	315837	15	15	15	2	5	7	1	0	2	0	2.22e-05	0.0810	0.137	0.0494	0.109	3.37e-05	0.00762
81	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif, 16	1908523	57	53	56	7	8	30	9	3	7	0	9.45e-06	0.00362	0.304	0.138	0.273	3.57e-05	0.00797
82	OR2A2	olfactory receptor, family 2, subfamily A, member 2	522655	17	17	16	2	0	9	6	2	0	0	1.65e-05	0.0682	0.0863	0.897	0.160	3.65e-05	0.00805
83	C7	complement component 7	1256511	39	36	38	4	1	21	9	4	4	0	2.72e-06	0.0599	0.815	0.951	1.000	3.76e-05	0.00818
84	ZNF676	zinc finger protein 676	963593	42	39	41	8	0	21	9	4	8	0	0.000389	0.349	0.0313	0.0200	0.00711	3.82e-05	0.00822
85	ASTN2	astrotactin 2	1946454	63	57	62	20	9	25	14	3	10	2	1.000	0.219	5.00e-06	0.00920	3.20e-06	4.37e-05	0.00929
86	OR4C12	olfactory receptor, family 4, subfamily C, member 12	508918	15	13	14	1	2	8	2	2	1	0	3.20e-05	0.0368	0.0872	0.323	0.113	4.89e-05	0.0102
87	NPFFR2	neuropeptide FF receptor 2	860313	22	21	21	0	4	10	2	2	4	0	1.12e-05	0.00173	0.305	0.353	0.326	4.94e-05	0.0102
88	NRXN1	neurexin 1	2374977	109	83	104	19	19	55	13	8	12	2	1.79e-05	0.00176	0.150	0.283	0.206	4.98e-05	0.0102
89	PRIM2	primase, DNA, polypeptide 2 (58kDa)	676504	14	14	14	0	0	9	2	0	2	1	0.00121	0.0368	0.00145	0.643	0.00315	5.14e-05	0.0104
90	S100A7	S100 calcium binding protein A7	171130	8	8	8	0	1	4	2	0	1	0	0.000101	0.0836	0.0197	0.905	0.0382	5.20e-05	0.0104
91	ITGBL1	integrin, beta-like 1 (with EGF-like repeat domains)	719647	21	20	20	2	1	7	3	1	8	1	1.13e-05	0.233	0.848	0.106	0.358	5.43e-05	0.0107
92	OR8H2	olfactory receptor, family 8, subfamily H, member 2	512830	31	27	31	7	1	15	6	2	7	0	5.41e-06	0.159	0.799	0.338	0.749	5.44e-05	0.0107
93	MS4A4A	membrane-spanning 4-domains, subfamily A, member 4	403345	14	14	14	2	2	6	2	2	1	1	5.67e-06	0.181	0.618	0.509	0.830	6.24e-05	0.0121
94	SERPINB3	serpin peptidase inhibitor, clade B (ovalbumin), member 3	653418	25	25	25	4	1	11	4	4	4	1	5.31e-06	0.202	0.872	0.811	1.000	6.97e-05	0.0134
95	RPS16	ribosomal protein S16	250131	4	2	3	0	0	2	1	0	1	0	0.650	0.287	2.40e-06	0.800	8.60e-06	7.32e-05	0.0139
96	RALYL	RALY RNA binding protein-like	377458	16	13	16	2	0	7	7	1	1	0	7.96e-05	0.272	0.0618	0.307	0.0764	7.91e-05	0.0149
97	ZNF98	zinc finger protein 98 (F7175)	603827	25	23	25	4	1	11	6	1	6	0	0.000154	0.383	0.0164	0.996	0.0430	8.54e-05	0.0158
98	KRTAP21-2	keratin associated protein 21-2	138430	8	7	8	0	0	3	1	1	3	0	0.000208	0.134	0.0125	0.772	0.0319	8.58e-05	0.0158
99	INHBA	inhibin, beta A	701911	31	29	29	6	5	15	6	2	3	0	0.000384	0.0865	0.00675	0.879	0.0177	8.77e-05	0.0159
100	CD1A	CD1a molecule	549349	23	17	22	2	5	9	3	0	6	0	1.54e-05	0.0414	0.440	0.328	0.448	8.89e-05	0.0159
101	OR2A5	olfactory receptor, family 2, subfamily A, member 5	511755	14	14	14	3	2	4	5	1	2	0	0.0166	0.372	7.00e-05	0.833	0.000416	8.91e-05	0.0159
102	TSLP	thymic stromal lymphopoietin	270286	8	8	8	1	0	2	5	0	1	0	0.00139	0.456	0.0268	0.0173	0.00552	9.80e-05	0.0174
103	CFHR3	complement factor H-related 3	498959	14	14	14	1	0	3	5	3	3	0	0.000112	0.224	0.147	0.0329	0.0705	0.000100	0.0176
104	ZIC4	Zic family member 4	551512	39	34	39	8	6	13	12	1	7	0	4.06e-05	0.105	0.775	0.0945	0.198	0.000102	0.0176
105	DLX5	distal-less homeobox 5	480562	16	15	15	0	3	6	1	2	4	0	6.79e-05	0.00824	0.0793	0.206	0.118	0.000102	0.0176
106	C1orf94	chromosome 1 open reading frame 94	737973	25	23	25	3	0	14	4	5	2	0	4.28e-05	0.0497	0.426	0.0698	0.193	0.000105	0.0179
107	MAGEB2	melanoma antigen family B, 2	396038	13	13	12	1	2	7	2	1	1	0	6.98e-05	0.122	0.0662	0.800	0.136	0.000119	0.0201
108	LCE2B	late cornified envelope 2B	183665	10	9	9	0	1	5	1	0	3	0	8.27e-05	0.119	0.0940	0.275	0.132	0.000135	0.0224
109	IL1RAPL1	interleukin 1 receptor accessory protein-like 1	1124207	27	27	26	3	2	11	9	2	3	0	4.16e-05	0.113	0.522	0.0805	0.264	0.000136	0.0224
110	POSTN	periostin, osteoblast specific factor	1373396	35	33	34	3	1	5	15	2	12	0	1.25e-05	0.0674	0.941	0.556	0.877	0.000137	0.0224
111	GOLGA6C	golgin A6 family, member C	336918	6	6	5	1	1	3	1	0	1	0	0.0429	0.489	3.18e-05	0.802	0.000259	0.000138	0.0224
112	KRTAP5-10	keratin associated protein 5-10	334005	13	13	13	0	0	8	1	3	1	0	5.26e-05	0.0305	0.141	0.452	0.265	0.000170	0.0274
113	HAPLN1	hyaluronan and proteoglycan link protein 1	587811	20	17	20	3	2	11	4	1	2	0	0.000345	0.131	0.157	0.0304	0.0429	0.000179	0.0287
114	PSG11	pregnancy specific beta-1-glycoprotein 11	559872	28	25	24	6	2	15	4	0	7	0	0.00186	0.246	0.00404	0.521	0.00814	0.000183	0.0290
115	KRTAP27-1	keratin associated protein 27-1	342260	12	12	12	1	0	9	2	1	0	0	8.11e-05	0.202	0.0988	0.978	0.195	0.000190	0.0299
116	ATXN3L	ataxin 3-like	581174	9	9	9	3	1	3	3	0	2	0	0.493	0.673	5.40e-06	0.345	3.26e-05	0.000193	0.0301
117	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	2254463	46	43	45	5	8	7	7	5	19	0	0.00222	0.00350	0.00565	0.124	0.00758	0.000201	0.0310
118	SGCZ	sarcoglycan zeta	505652	22	19	20	4	1	11	6	1	3	0	0.000139	0.210	0.0679	0.403	0.121	0.000202	0.0310
119	SPANXN2	SPANX family, member N2	300284	13	12	12	1	1	8	2	0	2	0	3.99e-05	0.178	0.283	0.979	0.469	0.000222	0.0338
120	IFNA6	interferon, alpha 6	311739	7	6	7	3	0	4	1	2	0	0	0.0251	0.786	0.339	0.000158	0.000763	0.000227	0.0338
121	MPPED2	metallophosphoesterase domain containing 2	497810	22	20	22	4	5	12	2	0	2	1	3.03e-05	0.120	0.849	0.215	0.632	0.000228	0.0338
122	ZNF268	zinc finger protein 268	166139	9	8	9	1	0	2	1	1	5	0	1.93e-05	0.657	0.862	0.128	1.000	0.000228	0.0338
123	RPL10L	ribosomal protein L10-like	353702	16	16	15	2	3	3	2	4	4	0	2.30e-05	0.237	0.788	0.853	1.000	0.000269	0.0395
124	SLITRK6	SLIT and NTRK-like family, member 6	1378021	34	31	33	3	1	20	7	4	2	0	0.000154	0.0310	0.0925	0.677	0.152	0.000274	0.0399
125	KRTAP19-6	keratin associated protein 19-6	98344	6	6	5	0	1	2	0	1	2	0	0.000153	0.230	0.0869	0.989	0.156	0.000279	0.0403
126	KRTAP6-2	keratin associated protein 6-2	104585	9	8	9	1	3	4	1	1	0	0	2.47e-05	0.275	0.420	0.815	1.000	0.000286	0.0411
127	LSP1	lymphocyte-specific protein 1	428927	13	13	12	1	0	8	3	0	2	0	0.000397	0.0883	0.0411	0.442	0.0643	0.000295	0.0420
128	TNR	tenascin R (restrictin, janusin)	2267350	112	90	109	23	11	49	30	2	19	1	0.000194	0.00913	0.131	0.127	0.134	0.000301	0.0425
129	ZWINT	ZW10 interactor	470336	15	15	15	1	0	10	1	0	4	0	5.06e-05	0.0718	0.986	0.242	0.554	0.000322	0.0451
130	OR4A16	olfactory receptor, family 4, subfamily A, member 16	536085	34	32	33	9	2	21	5	5	1	0	6.93e-05	0.255	0.367	0.376	0.413	0.000328	0.0455
131	HOXA1	homeobox A1	553625	19	19	18	2	1	8	7	0	3	0	4.81e-05	0.123	0.483	0.335	0.597	0.000329	0.0455
132	OR8H3	olfactory receptor, family 8, subfamily H, member 3	513935	23	23	22	5	1	11	8	1	2	0	0.000429	0.293	0.0301	0.459	0.0713	0.000349	0.0476
133	PSG2	pregnancy specific beta-1-glycoprotein 2	560260	29	27	28	5	4	9	7	5	4	0	6.71e-05	0.131	0.314	0.548	0.461	0.000352	0.0476
134	RIT1	Ras-like without CAAX 1	370595	10	10	9	1	0	4	1	2	3	0	0.000218	0.352	0.0851	0.440	0.142	0.000353	0.0476
135	AKR1B15	aldo-keto reductase family 1, member B15	498229	13	13	12	0	2	6	2	1	2	0	0.000334	0.0156	0.186	0.0427	0.0945	0.000359	0.0481
136	ZSWIM2	zinc finger, SWIM-type containing 2	1031601	31	29	31	4	3	15	3	4	6	0	9.39e-05	0.132	0.306	0.542	0.359	0.000381	0.0506
137	WDR64	WD repeat domain 64	1127378	24	22	24	2	1	7	6	8	2	0	0.000456	0.0564	0.0372	0.542	0.0766	0.000393	0.0519
138	SETD2	SET domain containing 2	3452878	39	35	39	2	2	6	8	3	17	3	0.00489	0.0170	0.0795	0.00594	0.00772	0.000423	0.0554
139	OR2B11	olfactory receptor, family 2, subfamily B, member 11	521085	25	23	25	5	2	9	9	2	3	0	7.40e-05	0.181	0.451	0.518	0.599	0.000488	0.0631
140	CD5L	CD5 molecule-like	581145	21	21	21	3	3	7	3	3	5	0	8.69e-05	0.151	0.559	0.245	0.510	0.000489	0.0631
141	ANKRD7	ankyrin repeat domain 7	428794	12	11	10	0	0	5	5	0	2	0	0.000409	0.124	0.0474	0.586	0.110	0.000494	0.0633
142	NRG3	neuregulin 3	1038943	31	28	30	7	3	15	9	2	2	0	0.0428	0.211	0.000623	0.126	0.00107	0.000505	0.0643
143	SNX24	sorting nexin 24	270107	4	4	4	1	0	2	2	0	0	0	0.0907	0.735	0.000916	0.0852	0.000517	0.000514	0.0650
144	UGT2B28	UDP glucuronosyltransferase 2 family, polypeptide B28	862371	23	21	23	4	0	13	6	2	2	0	0.00420	0.323	0.00762	0.0775	0.0114	0.000522	0.0655
145	OR5K3	olfactory receptor, family 5, subfamily K, member 3	524668	14	13	14	0	0	8	3	1	2	0	0.000490	0.0362	0.0577	0.388	0.0995	0.000533	0.0664
146	SLITRK4	SLIT and NTRK-like family, member 4	1371541	43	40	43	6	1	27	8	4	3	0	5.02e-05	0.0236	0.983	0.892	1.000	0.000547	0.0677
147	CDH17	cadherin 17, LI cadherin (liver-intestine)	1390754	27	25	25	4	1	8	13	3	1	1	0.00926	0.173	0.00559	0.129	0.00551	0.000555	0.0682
148	BCKDHB	branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)	573514	14	14	13	1	0	5	2	3	4	0	0.000167	0.182	0.208	0.312	0.320	0.000580	0.0708
149	CD96	CD96 molecule	990253	12	12	12	1	0	6	1	0	5	0	0.155	0.195	0.000526	0.0507	0.000364	0.000607	0.0734
150	OR5J2	olfactory receptor, family 5, subfamily J, member 2	508450	28	27	28	6	4	12	6	2	4	0	0.000268	0.193	0.187	0.282	0.211	0.000609	0.0734
151	NLRP5	NLR family, pyrin domain containing 5	1800515	49	42	47	20	14	18	9	4	4	0	1.000	0.644	0.000260	0.00484	6.00e-05	0.000643	0.0770
152	GPR158	G protein-coupled receptor 158	1902983	63	53	63	19	6	26	13	7	11	0	0.999	0.462	2.02e-05	0.275	6.14e-05	0.000656	0.0780
153	C14orf177	chromosome 14 open reading frame 177	209372	10	9	10	0	0	5	3	2	0	0	6.23e-05	0.0953	0.917	0.565	1.000	0.000665	0.0786
154	OR4L1	olfactory receptor, family 4, subfamily L, member 1	512537	19	17	19	4	2	10	4	1	2	0	0.000375	0.199	0.0941	0.385	0.170	0.000679	0.0797
155	CMTM5	CKLF-like MARVEL transmembrane domain containing 5	267443	8	8	8	1	2	4	2	0	0	0	0.00392	0.167	0.0125	0.225	0.0168	0.000700	0.0817
156	DRD2	dopamine receptor D2	736661	26	21	26	3	4	10	5	3	3	1	0.000202	0.0185	0.309	0.195	0.331	0.000708	0.0820
157	DLGAP3	discs, large (Drosophila) homolog-associated protein 3	1173238	28	27	28	3	5	17	2	0	4	0	0.00362	0.0124	0.0112	0.937	0.0212	0.000804	0.0926
158	PHF14	PHD finger protein 14	1035138	19	19	18	1	1	7	3	1	7	0	0.000465	0.146	0.365	0.0771	0.167	0.000812	0.0927
159	ZFYVE28	zinc finger, FYVE domain containing 28	1209907	15	15	15	1	4	2	5	1	3	0	0.142	0.0367	0.000287	0.653	0.000548	0.000815	0.0927
160	B2M	beta-2-microglobulin	202556	9	8	8	1	0	0	0	4	5	0	9.66e-05	0.326	0.654	0.450	0.843	0.000848	0.0958
161	CNBD1	cyclic nucleotide binding domain containing 1	512401	25	25	25	5	0	7	5	4	9	0	0.000144	0.655	0.364	0.826	0.578	0.000863	0.0969
162	ANTXR1	anthrax toxin receptor 1	876440	20	20	20	2	2	3	6	3	6	0	0.000107	0.103	0.650	0.616	0.789	0.000878	0.0975
163	EPHA7	EPH receptor A7	1659721	40	34	40	4	3	22	5	5	5	0	0.000214	0.0338	0.276	0.895	0.397	0.000879	0.0975
164	VSTM2A	V-set and transmembrane domain containing 2A	327132	13	11	13	2	3	6	3	0	1	0	0.00205	0.216	0.336	0.0138	0.0417	0.000885	0.0975
165	GFRA1	GDNF family receptor alpha 1	743419	20	19	20	3	3	8	4	2	3	0	0.00126	0.0883	0.0343	0.526	0.0713	0.000924	0.101
